(1)
position 0 1 100
rotation 0 0 0 
scale 1 1 1
(2)
position -10 6 200
rotation 0 0 0
scale 1 1 1
(3)
position 6 -12 300
rotation 0 0 0 
scale 1 1 1
(4)
position -14 -4 400
rotation 0 0 0 
scale 1 1 1
(5)
position 17 16 500
rotation 0 0 0 
scale 1 1 1
(6)
position -12 8 600
rotation 0 0 0 
scale 1 1 1
(7)
position 10 -19 700
rotation 0 0 0 
scale 1 1 1
(8)
position -6 15 800
rotation 0 0 0 
scale 1 1 1
(9)
position 14 3 900
rotation 0 0 0 
scale 1 1 1
(10)
position -17 -6 1000
rotation 0 0 0 
scale 1 1 1
(11)
position 0 1 1100
rotation 0 0 0 
scale 1 1 1
(12)
position -10 6 1200
rotation 0 0 0
scale 1 1 1
(13)
position 6 -12 1300
rotation 0 0 0 
scale 1 1 1
(14)
position -14 -4 1400
rotation 0 0 0 
scale 1 1 1
(15)
position 17 16 1500
rotation 0 0 0 
scale 1 1 1
(16)
position -12 8 1600
rotation 0 0 0 
scale 1 1 1
(17)
position 10 -19 1700
rotation 0 0 0 
scale 1 1 1
(18)
position -6 15 1800
rotation 0 0 0 
scale 1 1 1
(19)
position 14 3 1900
rotation 0 0 0 
scale 1 1 1
(20)
position -17 -6 2000
rotation 0 0 0 
scale 1 1 1
(21)
position 0 1 2100
rotation 0 0 0 
scale 1 1 1
(22)
position -10 6 2200
rotation 0 0 0
scale 1 1 1
(23)
position 6 -12 2300
rotation 0 0 0 
scale 1 1 1
(24)
position -14 -4 2400
rotation 0 0 0 
scale 1 1 1
(25)
position 17 16 2500
rotation 0 0 0 
scale 1 1 1
(26)
position -12 8 2600
rotation 0 0 0 
scale 1 1 1
(27)
position 10 -19 2700
rotation 0 0 0 
scale 1 1 1
(28)
position -6 15 2800
rotation 0 0 0 
scale 1 1 1
(29)
position 14 3 2900
rotation 0 0 0 
scale 1 1 1
(30)
position -17 -6 3000
rotation 0 0 0 
scale 1 1 1
(31)
position 0 1 3100
rotation 0 0 0 
scale 1 1 1
(32)
position -10 6 3200
rotation 0 0 0
scale 1 1 1
(33)
position 6 -12 3300
rotation 0 0 0 
scale 1 1 1
(34)
position -14 -4 3400
rotation 0 0 0 
scale 1 1 1
(35)
position 17 16 3500
rotation 0 0 0 
scale 1 1 1
(36)
position -12 8 3600
rotation 0 0 0 
scale 1 1 1
(37)
position 10 -19 3700
rotation 0 0 0 
scale 1 1 1
(38)
position -6 15 3800
rotation 0 0 0 
scale 1 1 1
(39)
position 14 3 3900
rotation 0 0 0 
scale 1 1 1
(40)
position -17 -6 4000
rotation 0 0 0 
scale 1 1 1
(41)
position 0 1 4100
rotation 0 0 0 
scale 1 1 1
(42)
position -10 6 4200
rotation 0 0 0
scale 1 1 1
(43)
position 6 -12 4300
rotation 0 0 0 
scale 1 1 1
(44)
position -14 -4 4400
rotation 0 0 0 
scale 1 1 1
(45)
position 17 16 4500
rotation 0 0 0 
scale 1 1 1
(46)
position -12 8 4600
rotation 0 0 0 
scale 1 1 1
(47)
position 10 -19 4700
rotation 0 0 0 
scale 1 1 1
(48)
position -6 15 4800
rotation 0 0 0 
scale 1 1 1
(49)
position 14 3 4900
rotation 0 0 0 
scale 1 1 1
(50)
position -17 -6 5000
rotation 0 0 0 
scale 1 1 1
(51)
position 0 1 5100
rotation 0 0 0 
scale 1 1 1
(52)
position -10 6 5200
rotation 0 0 0
scale 1 1 1
(53)
position 6 -12 5300
rotation 0 0 0 
scale 1 1 1
(54)
position -14 -4 5400
rotation 0 0 0 
scale 1 1 1
(55)
position 17 16 5500
rotation 0 0 0 
scale 1 1 1
(56)
position -12 8 5600
rotation 0 0 0 
scale 1 1 1
(57)
position 10 -19 5700
rotation 0 0 0 
scale 1 1 1
(58)
position -6 15 5800
rotation 0 0 0 
scale 1 1 1
(59)
position 14 3 5900
rotation 0 0 0 
scale 1 1 1
(60)
position -17 -6 6000
rotation 0 0 0 
scale 1 1 1
(61)
position 0 1 6100
rotation 0 0 0 
scale 1 1 1
(62)
position -10 6 6200
rotation 0 0 0
scale 1 1 1
(63)
position 6 -12 6300
rotation 0 0 0 
scale 1 1 1
(64)
position -14 -4 6400
rotation 0 0 0 
scale 1 1 1
(65)
position 17 16 6500
rotation 0 0 0 
scale 1 1 1
(66)
position -12 8 6600
rotation 0 0 0 
scale 1 1 1
(67)
position 10 -19 6700
rotation 0 0 0 
scale 1 1 1
(68)
position -6 15 6800
rotation 0 0 0 
scale 1 1 1
(69)
position 14 3 6900
rotation 0 0 0 
scale 1 1 1
(70)
position -17 -6 7000
rotation 0 0 0 
scale 1 1 1
(71)
